,y_test,mean_predict,predicted_uncertainty
1357,195400.0,215600.16,4906.353
3897,162200.0,188341.72,4913.1655
1587,217500.0,157525.78,4915.258
1312,216800.0,230646.62,4924.403
272,307100.0,256911.75,4925.7334
3754,173100.0,213988.16,4925.862
1486,156900.0,172973.08,4936.0376
3837,236500.0,186694.42,4937.46
1452,179300.0,219287.34,4943.207
461,183700.0,173407.92,4944.2266
3426,156500.0,177233.88,4948.632
1291,147900.0,137645.86,4951.8237
580,142900.0,167825.67,4958.6387
94,230600.0,192319.4,4965.953
3344,222600.0,208435.86,4967.3887
1525,138700.0,154904.61,4968.022
3999,136900.0,192762.5,4989.6514
3752,190900.0,219627.38,4999.4165
1588,169000.0,188362.88,5000.41
2699,141600.0,230038.97,5006.153
345,211600.0,219909.5,5031.5337
3570,258400.0,220427.2,5034.0786
998,121500.0,159742.75,5034.6025
2982,238700.0,260412.08,5038.096
3462,163000.0,156140.73,5042.0703
2965,219700.0,202376.72,5044.2793
3608,231000.0,184864.42,5055.867
820,122800.0,133880.8,5060.8237
2802,206000.0,195205.33,5061.045
776,500001.0,199830.9,5068.4624
1390,205200.0,238598.66,5071.983
3881,183100.0,201394.47,5076.5605
4126,500001.0,188664.88,5079.651
863,216100.0,137642.48,5081.833
1724,194800.0,150253.55,5087.3647
1648,238500.0,192825.34,5089.452
1941,152100.0,201161.52,5091.762
2125,167500.0,193444.3,5094.865
2479,296100.0,197468.9,5099.0576
576,169300.0,155790.58,5099.5776
3215,240900.0,222701.08,5102.744
1356,238300.0,210577.22,5112.414
1973,123900.0,167090.55,5116.5835
1180,173600.0,231353.75,5119.007
3340,208200.0,227947.84,5123.4956
486,170200.0,220701.1,5124.3486
3140,170800.0,207774.84,5128.6523
1732,173900.0,191670.97,5130.6973
3440,183600.0,205307.23,5135.505
812,170000.0,202541.97,5149.9414
817,268300.0,212692.34,5158.2593
3587,119100.0,199448.03,5158.764
3750,146800.0,220791.42,5159.807
749,320200.0,261279.17,5160.7515
3015,250000.0,256416.5,5168.2837
55,167600.0,196496.72,5170.1313
1663,308300.0,261143.55,5178.273
3901,200800.0,221500.25,5192.8145
1225,156800.0,171345.47,5205.739
3488,223000.0,220233.55,5208.7964
3072,185800.0,211823.45,5210.6523
2877,126500.0,182929.62,5211.2544
434,159900.0,183101.28,5218.0044
25,183800.0,220827.6,5218.203
2801,181100.0,205479.05,5219.89
642,203200.0,168575.06,5222.085
1127,209200.0,206767.1,5231.469
2329,229600.0,192163.45,5231.547
2518,165100.0,205453.4,5233.2275
3397,137500.0,193711.11,5240.7134
3560,140100.0,191803.84,5242.815
45,267900.0,207266.5,5243.2124
2244,216700.0,195581.8,5251.7007
1622,183900.0,199619.78,5263.4272
314,123400.0,206137.19,5268.9507
2278,130900.0,149449.3,5270.1753
2846,231800.0,216362.7,5274.639
1634,123500.0,125417.0,5274.9893
62,123800.0,150658.75,5275.1616
3559,139200.0,217269.83,5277.189
1503,211600.0,222634.25,5277.2666
2615,209200.0,214696.17,5280.746
2584,326600.0,202509.22,5288.8145
2404,196900.0,186791.9,5290.664
2172,179000.0,211824.08,5290.771
3286,165600.0,189420.84,5292.936
2235,197500.0,170616.02,5302.6763
1798,138500.0,129391.33,5311.182
887,174400.0,191611.84,5315.568
1554,183800.0,234142.66,5316.6084
3166,257200.0,206995.73,5320.596
3382,190200.0,238628.38,5322.0923
799,179900.0,217626.55,5327.504
2454,217700.0,218624.42,5330.2075
3173,120800.0,142327.5,5337.208
1427,234100.0,206880.47,5350.3633
3259,264400.0,231910.55,5351.805
3574,162100.0,213330.7,5352.681
1865,173400.0,221598.84,5355.101
2144,224200.0,200580.11,5361.646
3825,193100.0,197621.12,5366.157
1704,146600.0,173547.67,5369.6655
346,303800.0,232986.1,5371.594
227,190400.0,185147.36,5375.9976
552,213800.0,188714.28,5376.2007
1540,221200.0,263216.88,5377.082
2768,153700.0,205520.98,5379.739
2679,273400.0,247353.34,5380.64
3903,91900.0,123848.5,5381.893
2267,281500.0,204106.08,5386.3374
2930,166700.0,178365.62,5386.6104
1244,218600.0,257852.72,5394.999
1316,133900.0,148705.7,5396.118
3416,292900.0,241028.17,5401.147
2508,162100.0,138552.0,5401.366
3798,220900.0,211755.1,5405.726
2583,97200.0,135680.45,5406.9434
2228,213400.0,242554.45,5408.3325
2883,241700.0,205512.55,5408.6016
2826,203700.0,222713.75,5409.2993
1539,264000.0,218310.92,5416.0386
1343,192200.0,240951.83,5421.7104
2976,160600.0,205610.1,5429.26
2999,133000.0,139021.16,5429.557
2990,142600.0,164895.25,5430.699
575,280200.0,243959.8,5431.7817
3670,195700.0,223023.95,5436.6143
2119,239900.0,266797.28,5440.1934
3795,162700.0,187405.47,5443.176
2981,193600.0,222648.38,5444.5815
1912,139700.0,140048.03,5448.3867
3744,192300.0,168795.03,5452.139
3529,182100.0,191566.58,5463.625
3011,193300.0,224742.88,5478.2344
211,227900.0,219112.34,5482.1143
2182,171900.0,155650.14,5485.378
400,113700.0,135317.11,5486.9297
3933,217000.0,214317.55,5487.2847
879,220600.0,153382.56,5488.5127
2058,162500.0,214688.25,5491.158
1325,190000.0,223088.05,5494.368
3269,124800.0,136403.7,5497.0806
3094,178400.0,188858.17,5497.3936
3170,230200.0,223609.55,5508.619
1635,196400.0,220019.28,5509.425
685,172900.0,176431.33,5515.182
3985,176100.0,184634.28,5519.967
2100,159200.0,183401.33,5521.4585
2095,154000.0,227154.9,5524.29
683,201700.0,229763.0,5527.1885
83,295200.0,195273.33,5528.4663
870,194500.0,155746.16,5536.825
856,206400.0,153147.58,5540.041
3393,180700.0,164186.75,5544.961
4114,221900.0,154883.08,5549.8325
913,114900.0,120328.25,5552.2373
1817,172100.0,190577.83,5557.3247
1171,148900.0,182986.3,5558.288
2622,195300.0,242399.83,5559.277
1275,228600.0,234203.97,5561.4478
1455,143800.0,199786.19,5563.4824
2230,187600.0,234034.66,5563.982
3855,180800.0,183794.16,5575.6616
905,121400.0,154072.17,5576.4277
171,173100.0,196460.55,5577.7
2207,274600.0,269680.78,5578.731
1508,113500.0,166795.05,5579.35
1087,225600.0,244822.0,5581.399
1149,111000.0,172021.17,5586.3545
66,178300.0,220150.28,5591.521
4062,312700.0,234239.08,5602.2485
753,170200.0,126837.984,5608.126
1470,141900.0,166245.25,5615.536
894,215300.0,210345.83,5617.383
3096,182900.0,196522.44,5617.6265
1546,171300.0,167551.8,5622.5547
438,282100.0,197916.66,5623.4746
1146,170200.0,202136.56,5630.7715
3305,132200.0,145599.03,5632.8936
3747,169800.0,204901.88,5638.486
665,179500.0,199971.25,5639.483
4086,243200.0,270073.6,5642.852
3332,114100.0,132529.9,5643.6875
581,173200.0,142631.52,5644.2505
3115,243600.0,223781.25,5646.089
2696,188400.0,228298.4,5649.748
1092,249400.0,188422.22,5651.249
1189,158700.0,177050.58,5658.653
986,272400.0,200277.62,5658.7437
1437,181800.0,221705.34,5659.6694
1823,293200.0,221156.66,5660.4683
636,160600.0,194648.78,5663.925
177,259800.0,197865.84,5665.277
550,130800.0,153553.7,5671.2046
3364,199000.0,190597.03,5671.963
2970,194300.0,218028.45,5672.971
3697,90800.0,112535.45,5680.708
1075,242600.0,249230.16,5687.9854
3060,151400.0,182417.25,5691.8247
3603,217500.0,191129.08,5701.2383
1454,217800.0,218501.25,5702.2793
1378,221800.0,230529.5,5703.2705
1284,181500.0,197676.02,5706.3105
2760,142900.0,159168.1,5707.383
2485,180700.0,194950.0,5707.722
3618,272500.0,254803.67,5708.2188
2977,226600.0,224683.05,5710.7656
3642,186000.0,135211.75,5711.5103
1604,246400.0,235057.78,5715.955
1972,122900.0,132859.9,5729.9497
1733,149200.0,166249.33,5734.1055
2453,114900.0,175485.9,5736.415
2387,215000.0,194322.1,5739.6216
916,197000.0,199330.62,5755.5986
3666,258900.0,221219.66,5756.4854
439,216900.0,213863.62,5757.363
2314,92400.0,127424.85,5758.528
3756,144600.0,181283.11,5759.9316
3810,154300.0,222562.95,5762.068
1088,248000.0,211554.34,5763.431
356,182100.0,162238.84,5768.4033
4095,172500.0,188402.33,5768.482
953,204700.0,185030.28,5773.197
1151,195100.0,232146.62,5775.9907
2806,210400.0,222816.78,5784.4253
1742,160900.0,135032.62,5789.209
2229,187300.0,223624.6,5792.7705
2298,161300.0,187225.8,5792.952
695,200600.0,197861.95,5793.575
3640,168600.0,174549.39,5793.61
2835,137000.0,137441.53,5794.183
2567,196400.0,196952.45,5795.6157
466,163300.0,181238.42,5796.4604
472,168100.0,199102.88,5804.686
1641,182100.0,191511.05,5809.648
571,118500.0,151955.92,5810.1294
2869,135700.0,187772.38,5810.458
3395,132800.0,139280.1,5816.2446
3110,181300.0,143880.27,5819.3384
1363,87500.0,144006.3,5820.673
1967,178400.0,166865.16,5823.3076
1694,187500.0,194533.84,5824.616
2666,179700.0,219401.62,5827.0557
3778,198100.0,176558.81,5828.295
1568,220800.0,206394.95,5828.9243
3264,157800.0,155424.53,5830.4917
3730,240700.0,248340.66,5834.0757
1102,102300.0,181480.2,5839.3022
892,195100.0,187827.14,5839.5913
3085,165000.0,195265.86,5842.5547
2542,272300.0,229807.45,5843.9253
827,152400.0,222746.66,5844.137
3400,341100.0,203542.4,5844.7144
3024,208600.0,221108.7,5849.8945
399,190300.0,170056.17,5850.192
2040,188800.0,186118.2,5851.2393
3781,198300.0,231984.34,5853.3677
1247,214300.0,130407.95,5855.824
3112,199300.0,169220.31,5857.9067
2,258700.0,192267.25,5868.2188
3002,116700.0,171899.6,5871.811
3691,139100.0,143906.66,5872.2188
263,189700.0,133692.36,5872.784
975,181900.0,207141.3,5878.824
1436,127200.0,132314.16,5883.1235
130,239200.0,217044.28,5885.4897
1757,172500.0,199917.89,5888.6978
1729,146900.0,127554.35,5889.816
3079,240800.0,228760.88,5889.9497
2291,228700.0,218955.16,5898.007
3743,177900.0,197391.72,5899.1543
372,192500.0,196448.62,5904.082
496,195100.0,214423.3,5905.0317
927,208800.0,208542.62,5907.219
1441,243800.0,192532.02,5908.7026
3160,180500.0,159979.64,5911.379
2945,195800.0,204161.12,5911.6284
3210,171500.0,192867.25,5914.674
1846,191900.0,231323.55,5915.3633
2919,43000.0,133401.38,5918.779
2177,115800.0,198135.94,5919.5225
2113,212300.0,240949.33,5926.597
3155,239300.0,180725.25,5926.6567
1851,200000.0,147463.84,5929.7725
1953,145800.0,194674.69,5948.3276
3847,122300.0,119221.75,5949.639
3811,160700.0,209637.92,5955.5977
1478,197600.0,191184.78,5956.9033
1192,171400.0,194168.84,5957.7075
673,218100.0,242562.0,5961.2695
512,176900.0,133347.34,5969.102
1980,168900.0,211313.2,5972.1245
3468,90600.0,170731.6,5977.351
4011,137500.0,146027.1,5977.9106
3250,198000.0,188541.28,5983.7256
3390,197200.0,198567.17,5985.98
1800,211100.0,224534.0,5986.072
2448,160200.0,181797.34,5988.4414
2591,173400.0,258385.84,5988.75
1501,258100.0,247136.55,5994.6724
2659,253900.0,215229.78,5995.258
2409,160300.0,178585.84,5995.3115
848,376800.0,230019.3,5996.27
2303,201700.0,194974.42,5997.2046
1387,227800.0,191136.62,5997.801
1995,238300.0,256842.84,6001.407
943,186500.0,227803.16,6003.018
2764,163100.0,147134.52,6012.2046
1670,243200.0,168115.2,6022.4185
1473,239900.0,215465.9,6024.3955
1632,164400.0,189915.6,6033.64
2913,184800.0,192801.66,6038.7266
1361,172100.0,166189.34,6045.2876
3159,192400.0,229650.84,6050.406
3972,178700.0,172272.33,6054.433
1918,240700.0,243144.58,6055.439
1883,158200.0,196039.83,6056.3877
674,280100.0,199284.47,6057.7354
1069,181800.0,201553.19,6064.674
773,125200.0,144238.62,6071.894
4124,155900.0,141717.52,6072.929
1877,279100.0,214371.95,6075.6016
508,191100.0,195507.58,6079.309
3997,194200.0,188985.28,6079.648
471,104100.0,126016.36,6080.627
4080,164500.0,182998.16,6085.226
4012,149500.0,133257.03,6086.618
2213,270800.0,224706.84,6087.9824
1418,159400.0,151753.84,6089.462
2109,159100.0,162512.69,6095.5767
3551,213200.0,197806.17,6096.252
2989,220800.0,214954.34,6100.2812
3604,146300.0,131074.1,6103.102
3703,233300.0,255830.0,6103.2505
3896,218400.0,182932.77,6108.5693
408,199100.0,189771.1,6112.0645
1511,261300.0,222207.95,6116.114
2427,152900.0,213979.7,6123.8794
1603,325000.0,196171.34,6131.6406
2300,210400.0,229891.2,6132.106
2616,174000.0,148750.77,6135.646
1209,210900.0,168281.4,6140.9243
173,208100.0,169502.56,6141.8545
1376,216500.0,194132.7,6146.1064
3325,111100.0,125472.17,6146.143
2957,192800.0,245304.3,6146.741
2104,202300.0,223931.84,6149.608
1242,180900.0,185438.38,6154.391
3789,141900.0,113856.6,6157.5664
134,182900.0,167323.38,6158.2505
2152,209000.0,181683.28,6159.285
1986,120800.0,175179.0,6162.8228
414,238700.0,254934.55,6165.5864
1417,333700.0,224797.55,6168.352
2010,154300.0,191986.89,6174.626
236,128900.0,112059.29,6176.2373
4123,98000.0,132730.33,6178.37
2831,144800.0,140671.67,6179.464
2042,203000.0,193919.17,6184.559
3267,124200.0,194909.34,6186.2974
903,146700.0,194237.33,6187.495
2202,450000.0,203588.84,6187.667
3767,187700.0,178351.66,6196.1045
1954,148700.0,202204.55,6200.3647
1494,172400.0,195251.11,6205.082
3270,247600.0,208612.55,6207.5566
1989,186800.0,228407.9,6209.168
3983,253200.0,212832.16,6210.082
3050,198400.0,159238.22,6214.577
3598,191100.0,194006.92,6219.522
723,174500.0,204730.05,6220.219
1676,215900.0,195114.47,6221.6562
375,193000.0,215439.47,6222.2563
135,228100.0,160117.88,6232.763
3784,132500.0,187452.05,6247.7676
2169,95200.0,169895.8,6248.2607
1933,229900.0,204851.16,6248.7827
1117,169400.0,205595.61,6249.889
1806,163300.0,184113.52,6252.4507
1969,270700.0,251982.2,6257.535
1573,310000.0,188807.16,6262.2485
2064,168300.0,208169.9,6264.6187
955,133300.0,162674.19,6266.1543
1134,248400.0,252126.75,6268.8237
3503,124700.0,120642.04,6272.37
2092,141100.0,196865.2,6273.4033
3151,133300.0,159546.48,6276.0103
1280,117700.0,133017.9,6278.319
2776,136000.0,149913.08,6280.0034
2449,100000.0,221947.95,6281.3706
3421,225200.0,228236.1,6287.1255
2168,120100.0,127720.96,6291.3228
3757,219900.0,242640.05,6292.793
2523,121600.0,150102.17,6294.7495
653,161700.0,219971.62,6297.598
1067,143800.0,133968.31,6297.968
2582,175000.0,190945.5,6298.177
2419,117800.0,152277.95,6298.87
1529,175000.0,181673.42,6304.1997
2959,104300.0,191993.47,6313.0425
1681,227100.0,211735.1,6314.6743
731,219800.0,206793.17,6317.0703
1021,245000.0,222272.95,6321.049
2842,144300.0,156735.55,6325.1426
2322,126500.0,134213.16,6334.5825
1521,164300.0,196927.95,6343.8125
379,110400.0,142675.95,6347.493
2138,212000.0,203143.47,6348.8203
451,293900.0,240884.8,6350.3267
617,146300.0,147242.7,6353.205
2625,131700.0,153673.3,6359.3955
3224,185400.0,176158.4,6360.774
1664,209900.0,189790.78,6362.029
3077,295400.0,209606.72,6363.7017
4074,172800.0,184909.22,6363.7817
3947,260600.0,279711.9,6364.2656
1527,86200.0,106398.02,6369.0107
3339,100000.0,132538.47,6370.858
3931,166300.0,185596.86,6377.2188
136,98600.0,132398.31,6380.657
3095,183900.0,184721.34,6389.09
3136,105700.0,123232.21,6389.1597
3946,262100.0,252018.34,6392.598
2691,215500.0,250394.66,6393.456
2996,88100.0,105784.35,6396.277
1036,221700.0,215891.97,6397.742
880,146500.0,194058.0,6399.2754
323,212800.0,193973.22,6399.6133
1699,223300.0,233718.25,6401.931
2296,150000.0,190905.84,6407.6157
11,123800.0,131784.36,6409.2905
3279,188800.0,183415.1,6409.7017
4055,150800.0,160727.03,6411.847
2751,184900.0,190225.7,6412.446
1424,165800.0,180855.19,6419.1655
3605,157300.0,164376.73,6420.274
3613,160800.0,175352.53,6422.9907
3355,125000.0,124200.52,6429.2905
70,186500.0,148681.84,6430.745
1461,121400.0,144625.17,6431.76
310,134800.0,121072.23,6435.655
923,162000.0,177987.05,6438.3726
2558,172700.0,211795.9,6447.5913
1743,106500.0,125931.98,6452.3096
859,267500.0,237267.95,6453.3335
2541,251300.0,249631.4,6454.6626
694,300000.0,206972.17,6459.5596
2533,195200.0,189724.8,6460.277
868,160200.0,176973.58,6469.399
3348,166600.0,234332.5,6474.182
2632,154200.0,187162.75,6476.594
3317,204300.0,224586.83,6478.9497
1080,157700.0,205933.47,6480.823
732,141800.0,170238.38,6483.121
166,129300.0,110143.33,6483.5444
1560,231800.0,129884.48,6484.029
3502,175200.0,211656.7,6484.845
2126,246400.0,248488.95,6487.119
222,130600.0,234155.4,6488.763
342,132000.0,129331.14,6494.9375
601,91300.0,167875.88,6499.9595
4097,146900.0,151477.98,6500.2188
2106,199100.0,188853.45,6501.047
3721,177800.0,120424.46,6502.138
2014,168300.0,204842.23,6503.92
2604,149800.0,194805.67,6510.05
3013,176900.0,201326.83,6515.6235
2062,159300.0,133985.72,6517.493
2530,96000.0,106253.06,6517.9956
3158,108300.0,184990.25,6523.877
4089,182500.0,223439.25,6526.14
2695,231700.0,201522.66,6526.5986
611,300000.0,135605.34,6529.6514
3540,304900.0,258206.2,6536.6855
1443,159500.0,136734.88,6538.5435
157,131300.0,162556.6,6538.721
3681,192000.0,159300.83,6541.2646
2238,229200.0,266365.53,6542.405
3227,160600.0,207930.78,6544.5615
1003,229200.0,223816.45,6544.6924
2668,137500.0,159217.58,6545.35
3546,126900.0,137132.23,6550.5063
620,217100.0,243485.95,6552.906
3476,146400.0,189861.88,6553.357
3921,112800.0,137762.72,6558.314
3498,179500.0,235599.92,6563.3745
1768,113600.0,136337.2,6566.2686
3631,187200.0,201049.81,6575.2544
3477,203700.0,197571.62,6576.7026
2395,170800.0,172204.95,6577.0103
1744,220900.0,235664.05,6577.6963
1107,99300.0,137564.12,6578.6606
1512,253700.0,229870.4,6578.823
2546,209800.0,199571.03,6583.0547
2324,137500.0,114462.52,6588.0537
1751,85200.0,122788.06,6589.2866
628,159500.0,184141.55,6589.95
3425,191900.0,185124.4,6590.52
1630,315600.0,270539.44,6594.0933
3862,269800.0,223273.7,6596.1313
2456,146700.0,172264.64,6597.8027
1822,87500.0,155256.4,6598.404
1977,136400.0,204928.55,6599.3306
3341,129200.0,145649.55,6601.861
175,126500.0,163132.58,6605.309
2837,122500.0,130253.05,6606.746
2948,143800.0,160628.6,6612.131
901,166000.0,185406.2,6612.3755
420,114300.0,138618.45,6612.394
2504,88300.0,119928.45,6612.47
4034,195500.0,180615.25,6616.314
2255,257400.0,255409.16,6622.7783
3042,190900.0,183582.0,6624.866
322,67500.0,181977.34,6625.4614
4091,223100.0,218296.66,6625.8936
2128,179500.0,153289.19,6629.492
4013,117600.0,141522.6,6630.705
1609,146900.0,172451.3,6633.641
1295,169100.0,203835.23,6640.3765
595,164800.0,234869.97,6641.723
3368,159200.0,189255.12,6643.556
1621,124000.0,185560.88,6648.6084
1465,136100.0,207809.25,6649.7295
1948,148800.0,134713.3,6650.9
362,115300.0,124675.95,6652.0605
2732,83500.0,109630.625,6653.2227
1550,192200.0,181515.33,6653.473
1843,182900.0,203473.5,6658.5728
448,288400.0,193851.78,6665.0283
1044,186900.0,207216.25,6665.969
2870,232900.0,211171.83,6668.553
2294,252600.0,201094.34,6671.053
3242,181400.0,223043.7,6675.084
215,179100.0,200062.75,6679.189
91,160700.0,178139.8,6684.8037
3307,184100.0,165787.03,6686.103
1755,113400.0,121345.94,6687.7427
2680,137800.0,181562.8,6694.3057
3709,134300.0,134448.16,6694.4175
497,165600.0,173736.84,6696.9233
2323,205900.0,212028.7,6700.053
1185,236800.0,180096.84,6702.6035
1842,286000.0,259619.3,6704.28
2220,175500.0,179397.2,6704.406
787,263000.0,252246.45,6707.1885
3030,184800.0,199731.4,6713.012
917,139700.0,143535.52,6722.3296
2512,134600.0,201009.08,6728.964
1106,196100.0,195859.08,6730.5625
2758,144100.0,128643.586,6733.54
1178,162500.0,185651.2,6734.2056
3475,184500.0,193855.0,6737.9253
1499,132700.0,144627.62,6738.0254
2051,195900.0,234171.66,6738.995
260,131300.0,188502.78,6739.041
760,282600.0,233936.5,6739.421
3333,125000.0,129570.164,6746.8975
835,113900.0,105697.8,6750.929
3086,176100.0,174741.75,6752.4604
2470,111100.0,108627.8,6752.574
470,107700.0,108373.5,6756.062
2311,267600.0,145950.5,6756.9263
2785,148500.0,119400.266,6757.761
797,185000.0,221647.05,6759.2163
2641,137200.0,167149.52,6759.3296
2129,204900.0,241224.34,6761.023
1766,179200.0,199734.28,6765.679
202,293300.0,119360.23,6771.4287
3084,273400.0,226699.47,6772.4204
864,118300.0,176850.25,6780.6045
3352,113500.0,109981.11,6784.585
500,132000.0,152313.34,6787.1226
3517,162500.0,180562.62,6787.2944
1897,177400.0,235218.67,6788.911
2701,113000.0,106276.375,6791.431
1266,157200.0,186722.7,6794.981
3217,262100.0,258772.45,6797.813
1735,172100.0,190685.72,6800.7393
536,154500.0,157984.47,6801.2456
1118,170500.0,177008.66,6805.3115
3635,154600.0,212365.1,6805.71
291,205600.0,181562.05,6808.26
3260,167600.0,211937.97,6817.1816
2719,191700.0,167013.03,6824.987
3853,129300.0,134519.55,6825.283
1154,221100.0,225893.1,6827.33
862,165300.0,169114.25,6830.0645
303,116400.0,129915.71,6831.472
3128,240300.0,235310.42,6836.8584
579,162500.0,200792.62,6840.1113
361,500001.0,205993.83,6841.9653
855,136000.0,235090.84,6846.2803
1845,121300.0,125524.79,6846.628
3027,122800.0,135605.5,6850.37
1692,187500.0,194494.84,6854.5312
637,77400.0,108763.95,6861.6943
3949,226500.0,210697.5,6862.4463
455,124500.0,98162.92,6864.2676
20,311100.0,267081.47,6866.786
4049,163100.0,143790.4,6868.229
337,246000.0,228847.5,6870.5376
569,218300.0,230134.16,6874.004
1109,98300.0,119274.625,6874.0146
978,208300.0,174204.67,6877.878
3037,88300.0,129727.08,6878.408
315,190600.0,197671.0,6882.4253
3656,187800.0,168537.1,6883.12
1830,158000.0,165209.77,6883.69
3273,102000.0,128545.04,6887.951
2836,285200.0,266197.6,6889.744
1331,121700.0,122901.27,6890.5
164,178200.0,214120.12,6893.5405
494,151900.0,133294.97,6893.7437
376,154200.0,200376.47,6897.3394
3550,52600.0,107610.86,6898.1416
147,190500.0,197363.72,6906.674
2450,261300.0,155129.92,6911.2085
3523,266700.0,231739.42,6911.939
968,122900.0,115417.64,6912.4185
252,390200.0,250986.78,6912.943
681,173800.0,227054.05,6915.3726
1073,259200.0,193827.34,6916.1353
3989,264100.0,281036.78,6926.2856
2498,96000.0,110538.766,6927.848
1668,281300.0,187808.25,6929.2856
1439,179100.0,206980.05,6930.419
2201,114300.0,193380.8,6933.154
2250,164100.0,171985.88,6934.5303
2889,147900.0,132704.53,6934.6
3725,206700.0,243504.0,6934.8804
814,145500.0,144126.84,6943.599
210,300300.0,273550.1,6951.6455
2805,184900.0,217142.9,6951.8457
2306,148100.0,195954.42,6953.4453
3243,142100.0,201735.23,6956.731
2667,362500.0,182738.2,6956.7427
1052,191900.0,162219.7,6958.0576
2773,280200.0,214299.95,6959.313
3845,182100.0,125505.6,6963.274
1910,218000.0,186161.39,6963.9795
1199,187500.0,212203.38,6964.6216
3201,142100.0,120896.73,6965.27
2559,338900.0,188062.78,6967.6357
3672,137500.0,198117.3,6967.7397
